### MSE (L2) ###
Loss: 5154.630
ch01: -0.300 A
ch02: -0.562 A
ch03: -0.241 A
ch04: -0.946 A
ch05: -0.360 A
ch06: -0.158 A
ch07: -0.113 A
ch08: -0.018 A
ch09: -0.064 A
ch10: 0.005 A
ch11: -0.031 A
ch12: -0.129 A
ch13: -0.319 A
ch14: -0.364 A
ch15: 0.057 A
ch16: 0.007 A
ch17: -0.133 A
ch18: -1.114 A
ch19: -0.755 A
ch20: -0.080 A
ch21: -0.242 A
ch22: 0.451 A
ch23: 0.147 A
ch24: 0.160 A
ch25: 0.579 A
ch26: 0.498 A
ch27: 0.198 A
ch28: 0.327 A
ch29: 0.020 A
ch30: 0.508 A
ch31: 0.666 A
ch32: -0.107 A

### L1 ###
Loss: 62.160
ch01: 0.003 A
ch02: -0.027 A
ch03: 0.004 A
ch04: 0.021 A
ch05: 0.002 A
ch06: -0.001 A
ch07: -0.001 A
ch08: 0.002 A
ch09: -0.000 A
ch10: -0.001 A
ch11: 0.001 A
ch12: -0.001 A
ch13: -0.000 A
ch14: -0.003 A
ch15: -0.001 A
ch16: -0.001 A
ch17: -0.001 A
ch18: 0.010 A
ch19: 0.006 A
ch20: -0.001 A
ch21: 0.075 A
ch22: -0.009 A
ch23: 0.033 A
ch24: -0.142 A
ch25: -0.111 A
ch26: 0.315 A
ch27: 0.022 A
ch28: 0.261 A
ch29: -0.059 A
ch30: -0.043 A
ch31: -0.044 A
ch32: -0.000 A

### Max Error ###
Loss: 538.454
ch01: -0.050 A
ch02: -0.004 A
ch03: -0.035 A
ch04: -0.007 A
ch05: 0.003 A
ch06: -0.020 A
ch07: -0.007 A
ch08: 0.008 A
ch09: -0.003 A
ch10: -0.004 A
ch11: 0.005 A
ch12: -0.008 A
ch13: 0.000 A
ch14: -0.059 A
ch15: 0.013 A
ch16: 0.009 A
ch17: -0.005 A
ch18: -0.093 A
ch19: -0.089 A
ch20: -0.024 A
ch21: 0.177 A
ch22: -0.063 A
ch23: 0.021 A
ch24: -0.282 A
ch25: -0.458 A
ch26: 1.399 A
ch27: 0.081 A
ch28: 0.686 A
ch29: 0.011 A
ch30: -0.168 A
ch31: -0.071 A
ch32: -0.128 A

### Peak-to-Peak ###
Loss: 811.203
ch01: -0.004 A
ch02: -0.010 A
ch03: -0.004 A
ch04: 0.037 A
ch05: -0.021 A
ch06: 0.000 A
ch07: 0.002 A
ch08: 0.008 A
ch09: -0.010 A
ch10: 0.002 A
ch11: 0.009 A
ch12: -0.005 A
ch13: 0.004 A
ch14: -0.051 A
ch15: -0.013 A
ch16: 0.011 A
ch17: 0.002 A
ch18: 0.028 A
ch19: -0.086 A
ch20: -0.013 A
ch21: -0.036 A
ch22: -0.085 A
ch23: 0.022 A
ch24: 0.003 A
ch25: -0.188 A
ch26: 0.834 A
ch27: 0.098 A
ch28: 0.342 A
ch29: 0.269 A
ch30: -0.212 A
ch31: 0.012 A
ch32: -0.123 A

